Date,Close
1/29/1993,43.94
2/01/1993,44.25
2/02/1993,44.34
2/03/1993,44.81
2/04/1993,45
2/05/1993,44.97
2/08/1993,44.97
2/09/1993,44.66
2/10/1993,44.72
2/11/1993,44.94
2/12/1993,44.59
2/16/1993,43.47
2/17/1993,43.44
2/18/1993,43.41
2/19/1993,43.56
2/22/1993,43.72
2/23/1993,43.69
2/24/1993,44.25
2/25/1993,44.34
2/26/1993,44.41
3/01/1993,44.28
3/02/1993,44.94
3/03/1993,45.13
3/04/1993,44.88
3/05/1993,44.75
3/08/1993,45.75
3/09/1993,45.59
3/10/1993,45.69
3/11/1993,45.56
3/12/1993,45.09
3/15/1993,45.31
3/16/1993,45.31
3/17/1993,45.03
3/18/1993,45.31
3/19/1993,45.03
3/22/1993,44.78
3/23/1993,44.88
3/24/1993,44.88
3/25/1993,45.16
3/26/1993,44.91
3/29/1993,45.09
3/30/1993,45.22
3/31/1993,45.19
4/01/1993,45.03
4/02/1993,44.09
4/05/1993,44.31
4/06/1993,44.19
4/07/1993,44.34
4/08/1993,44.28
4/12/1993,44.91
4/13/1993,45
4/14/1993,44.94
4/15/1993,44.94
4/16/1993,44.94
4/19/1993,44.75
4/20/1993,44.53
4/21/1993,44.5
4/22/1993,43.94
4/23/1993,43.75
4/26/1993,43.41
4/27/1993,43.88
4/28/1993,43.78
4/29/1993,43.97
4/30/1993,44.03
5/03/1993,44.31
5/04/1993,44.47
5/05/1993,44.59
5/06/1993,44.44
5/07/1993,44.34
5/10/1993,44.44
5/11/1993,44.63
5/12/1993,44.56
5/13/1993,44.03
5/14/1993,44
5/17/1993,44.16
5/18/1993,44.13
5/19/1993,45.03
5/20/1993,45.16
5/21/1993,44.75
5/24/1993,44.94
5/25/1993,45.03
5/26/1993,45.59
5/27/1993,45.44
5/28/1993,45.22
6/01/1993,45.66
6/02/1993,45.59
6/03/1993,45.44
6/04/1993,45.28
6/07/1993,45.13
6/08/1993,44.72
6/09/1993,44.88
6/10/1993,44.91
6/11/1993,45.09
6/14/1993,45.03
6/15/1993,44.94
6/16/1993,45.03
6/17/1993,45.19
6/18/1993,44.5
6/21/1993,44.59
6/22/1993,44.63
6/23/1993,44.22
6/24/1993,44.81
6/25/1993,44.78
6/28/1993,45.28
6/29/1993,45.06
6/30/1993,45.06
7/01/1993,44.94
7/02/1993,44.69
7/06/1993,44.22
7/07/1993,44.34
7/08/1993,44.84
7/09/1993,44.97
7/12/1993,44.94
7/13/1993,44.91
7/14/1993,45.06
7/15/1993,44.88
7/16/1993,44.75
7/19/1993,44.72
7/20/1993,44.84
7/21/1993,44.81
7/22/1993,44.5
7/23/1993,44.72
7/26/1993,44.97
7/27/1993,44.94
7/28/1993,44.84
7/29/1993,45.09
7/30/1993,44.84
8/02/1993,44.97
8/03/1993,45
8/04/1993,45
8/05/1993,44.91
8/06/1993,44.97
8/09/1993,45.22
8/10/1993,45.19
8/11/1993,45.19
8/12/1993,45.06
8/13/1993,45.13
8/16/1993,45.38
8/17/1993,45.53
8/18/1993,45.78
8/19/1993,45.78
8/20/1993,45.81
8/23/1993,45.72
8/24/1993,46.22
8/25/1993,46.25
8/26/1993,46.28
8/27/1993,46.25
8/30/1993,46.44
8/31/1993,46.56
9/01/1993,46.5
9/02/1993,46.34
9/03/1993,46.38
9/07/1993,46.06
9/08/1993,45.91
9/09/1993,46
9/10/1993,46.41
9/13/1993,46.44
9/14/1993,46.25
9/15/1993,46.38
9/16/1993,46.19
9/17/1993,45.81
9/20/1993,45.44
9/21/1993,45.28
9/22/1993,45.66
9/23/1993,45.91
9/24/1993,45.78
9/27/1993,46.28
9/28/1993,46.19
9/29/1993,46.03
9/30/1993,45.94
10/01/1993,46.16
10/04/1993,46.22
10/05/1993,46.16
10/06/1993,46.13
10/07/1993,46
10/08/1993,46.06
10/11/1993,46.16
10/12/1993,46.22
10/13/1993,46.22
10/14/1993,46.81
10/15/1993,47.06
10/18/1993,46.94
10/19/1993,46.59
10/20/1993,46.66
10/21/1993,46.59
10/22/1993,46.38
10/25/1993,46.5
10/26/1993,46.47
10/27/1993,46.5
10/28/1993,46.84
10/29/1993,46.84
11/01/1993,46.97
11/02/1993,46.94
11/03/1993,46.34
11/04/1993,45.84
11/05/1993,46.06
11/08/1993,46.13
11/09/1993,46.16
11/10/1993,46.5
11/11/1993,46.38
11/12/1993,46.59
11/15/1993,46.56
11/16/1993,46.78
11/17/1993,46.53
11/18/1993,46.41
11/19/1993,46.31
11/22/1993,46.03
11/23/1993,46.28
11/24/1993,46.47
11/26/1993,46.5
11/29/1993,46.31
11/30/1993,46.34
12/01/1993,46.41
12/02/1993,46.53
12/03/1993,46.72
12/06/1993,46.88
12/07/1993,46.84
12/08/1993,46.84
12/09/1993,46.69
12/10/1993,46.59
12/13/1993,46.88
12/14/1993,46.53
12/15/1993,46.47
12/16/1993,46.63
12/17/1993,46.56
12/20/1993,46.63
12/21/1993,46.47
12/22/1993,46.78
12/23/1993,46.75
12/27/1993,47
12/28/1993,47.09
12/29/1993,47.03
12/30/1993,46.84
12/31/1993,46.59
1/03/1994,46.47
1/04/1994,46.66
1/05/1994,46.75
1/06/1994,46.75
1/07/1994,47.03
1/10/1994,47.59
1/11/1994,47.5
1/12/1994,47.34
1/13/1994,47.22
1/14/1994,47.41
1/17/1994,47.41
1/18/1994,47.47
1/19/1994,47.34
1/20/1994,47.47
1/21/1994,47.38
1/24/1994,47.19
1/25/1994,47.19
1/26/1994,47.31
1/27/1994,47.75
1/28/1994,47.88
1/31/1994,48.22
2/01/1994,47.97
2/02/1994,48.28
2/03/1994,48.06
2/04/1994,46.97
2/07/1994,47.19
2/08/1994,47.22
2/09/1994,47.41
2/10/1994,47
2/11/1994,47.16
2/14/1994,47.22
2/15/1994,47.47
2/16/1994,47.44
2/17/1994,47.16
2/18/1994,46.88
2/22/1994,47.34
2/23/1994,47.22
2/24/1994,46.59
2/25/1994,46.81
2/28/1994,46.81
3/01/1994,46.63
3/02/1994,46.69
3/03/1994,46.56
3/04/1994,46.69
3/07/1994,46.94
3/08/1994,46.75
3/09/1994,46.97
3/10/1994,46.59
3/11/1994,46.84
3/14/1994,46.91
3/15/1994,46.88
3/16/1994,47.25
3/17/1994,47.25
3/18/1994,46.97
3/21/1994,46.84
3/22/1994,46.97
3/23/1994,46.94
3/24/1994,46.38
3/25/1994,45.94
3/28/1994,46
3/29/1994,45.09
3/30/1994,44.47
3/31/1994,44.59
4/04/1994,43.91
4/05/1994,44.81
4/06/1994,44.81
4/07/1994,45.03
4/08/1994,44.69
4/11/1994,44.88
4/12/1994,44.81
4/13/1994,44.58
4/14/1994,44.59
4/15/1994,44.59
4/18/1994,44.3
4/19/1994,44.36
4/20/1994,44.31
4/21/1994,44.91
4/22/1994,44.86
4/25/1994,45.33
4/26/1994,45.28
4/28/1994,44.95
4/29/1994,45.09
5/02/1994,45.38
5/03/1994,45.33
5/04/1994,45.25
5/05/1994,45.19
